latitude,latitude
48.44986054,48.44986054
48.54986054,48.54986054
48.64986054,48.64986054
48.74986053,48.74986053
48.84986053,48.84986053
48.94986053,48.94986053
49.04986053,49.04986053
49.14986053,49.14986053
49.24986053,49.24986053
49.34986053,49.34986053
49.44986053,49.44986053
49.54986053,49.54986053
49.64986053,49.64986053
49.74986053,49.74986053
49.84986053,49.84986053
49.94986053,49.94986053
50.04986053,50.04986053
50.14986053,50.14986053
50.24986053,50.24986053
50.34986053,50.34986053
50.44986053,50.44986053
50.54986053,50.54986053
50.64986053,50.64986053
50.74986053,50.74986053
50.84986053,50.84986053
50.94986053,50.94986053
51.04986053,51.04986053
51.14986053,51.14986053
51.24986053,51.24986053
51.34986053,51.34986053
51.44986053,51.44986053
51.54986053,51.54986053
51.64986053,51.64986053
51.74986053,51.74986053
51.84986053,51.84986053
51.94986052,51.94986052
52.04986052,52.04986052
52.14986052,52.14986052
52.24986052,52.24986052
52.34986052,52.34986052
52.44986052,52.44986052
52.54986052,52.54986052
52.64986052,52.64986052
52.74986052,52.74986052
52.84986052,52.84986052
52.94986052,52.94986052
53.04986052,53.04986052
53.14986052,53.14986052
53.24986052,53.24986052
53.34986052,53.34986052
53.44986052,53.44986052
53.54986052,53.54986052
53.64986052,53.64986052
53.74986052,53.74986052
53.84986052,53.84986052
53.94986052,53.94986052
54.04986052,54.04986052
54.14986052,54.14986052
54.24986052,54.24986052
54.34986052,54.34986052
54.44986052,54.44986052
54.54986052,54.54986052
54.64986052,54.64986052
54.74986052,54.74986052
54.84986052,54.84986052
54.94986052,54.94986052
55.04986051,55.04986051
55.14986051,55.14986051
55.24986051,55.24986051
55.34986051,55.34986051
55.44986051,55.44986051
55.54986051,55.54986051
55.64986051,55.64986051
55.74986051,55.74986051
55.84986051,55.84986051
55.94986051,55.94986051
56.04986051,56.04986051
56.14986051,56.14986051
56.24986051,56.24986051
56.34986051,56.34986051
56.44986051,56.44986051
56.54986051,56.54986051
56.64986051,56.64986051
56.74986051,56.74986051
56.84986051,56.84986051
56.94986051,56.94986051
57.04986051,57.04986051
57.14986051,57.14986051
57.24986051,57.24986051
57.34986051,57.34986051
57.44986051,57.44986051
57.54986051,57.54986051
57.64986051,57.64986051
57.74986051,57.74986051
57.84986051,57.84986051
57.94986051,57.94986051
58.04986051,58.04986051
58.14986051,58.14986051
58.2498605,58.2498605
58.3498605,58.3498605
58.4498605,58.4498605
58.5498605,58.5498605
58.6498605,58.6498605
58.7498605,58.7498605
58.8498605,58.8498605
58.9498605,58.9498605
59.0498605,59.0498605
59.1498605,59.1498605
59.2498605,59.2498605
59.3498605,59.3498605
59.4498605,59.4498605
59.5498605,59.5498605
59.6498605,59.6498605
59.7498605,59.7498605
59.8498605,59.8498605
59.9498605,59.9498605
60.0498605,60.0498605
60.1498605,60.1498605
60.2498605,60.2498605
60.3498605,60.3498605
60.4498605,60.4498605
60.5498605,60.5498605
60.6498605,60.6498605
60.7498605,60.7498605
60.8498605,60.8498605
60.9498605,60.9498605
61.0498605,61.0498605
61.1498605,61.1498605
61.2498605,61.2498605
61.34986049,61.34986049
61.44986049,61.44986049
61.54986049,61.54986049
61.64986049,61.64986049
61.74986049,61.74986049
61.84986049,61.84986049
61.94986049,61.94986049
62.04986049,62.04986049
62.14986049,62.14986049
62.24986049,62.24986049
62.34986049,62.34986049
62.44986049,62.44986049
62.54986049,62.54986049
62.64986049,62.64986049
62.74986049,62.74986049
62.84986049,62.84986049
62.94986049,62.94986049
63.04986049,63.04986049
63.14986049,63.14986049
63.24986049,63.24986049
63.34986049,63.34986049
63.44986049,63.44986049
63.54986049,63.54986049
63.64986049,63.64986049
63.74986049,63.74986049
63.84986049,63.84986049
63.94986049,63.94986049
64.04986049,64.04986049
64.14986049,64.14986049
64.24986049,64.24986049
64.34986049,64.34986049
64.44986049,64.44986049
64.54986048,64.54986048
64.64986048,64.64986048
64.74986048,64.74986048
64.84986048,64.84986048
64.94986048,64.94986048
65.04986048,65.04986048
65.14986048,65.14986048
65.24986048,65.24986048
65.34986048,65.34986048
65.44986048,65.44986048
65.54986048,65.54986048
65.64986048,65.64986048
65.74986048,65.74986048
65.84986048,65.84986048
65.94986048,65.94986048
66.04986048,66.04986048
66.14986048,66.14986048
66.24986048,66.24986048
66.34986048,66.34986048
66.44986048,66.44986048
66.54986048,66.54986048
66.64986048,66.64986048
66.74986048,66.74986048
66.84986048,66.84986048
66.94986048,66.94986048
67.04986048,67.04986048
67.14986048,67.14986048
67.24986048,67.24986048
67.34986048,67.34986048
67.44986048,67.44986048
67.54986048,67.54986048
67.64986047,67.64986047
67.74986047,67.74986047
67.84986047,67.84986047
67.94986047,67.94986047
68.04986047,68.04986047
68.14986047,68.14986047
68.24986047,68.24986047
68.34986047,68.34986047
68.44986047,68.44986047
68.54986047,68.54986047
68.64986047,68.64986047
68.74986047,68.74986047
68.84986047,68.84986047
68.94986047,68.94986047
69.04986047,69.04986047
69.14986047,69.14986047
69.24986047,69.24986047
69.34986047,69.34986047
69.44986047,69.44986047
69.54986047,69.54986047
69.64986047,69.64986047
69.74986047,69.74986047
69.84986047,69.84986047
69.94986047,69.94986047
70.04986047,70.04986047
70.14986047,70.14986047
70.24986047,70.24986047
70.34986047,70.34986047
70.44986047,70.44986047
70.54986047,70.54986047
70.64986047,70.64986047
70.74986047,70.74986047
70.84986046,70.84986046
70.94986046,70.94986046
71.04986046,71.04986046
71.14986046,71.14986046
71.24986046,71.24986046
71.34986046,71.34986046
71.44986046,71.44986046
